[2021-09-09 20:17:58,692], ## Epoch 106/500 Loss:23.524, MAE:92.47, MSE:128.90, Best MAE:70.16
[2021-09-09 20:24:03,257], ## Epoch 107/500 Loss:27.257, MAE:70.91, MSE:108.23, Best MAE:70.16
[2021-09-09 20:30:06,516], ## Epoch 108/500 Loss:25.070, MAE:73.01, MSE:106.84, Best MAE:70.16
[2021-09-09 20:36:08,918], ## Epoch 109/500 Loss:27.459, MAE:71.11, MSE:105.41, Best MAE:70.16
[2021-09-09 20:42:11,703], ## Epoch 110/500 Loss:20.961, MAE:76.27, MSE:108.59, Best MAE:70.16
[2021-09-09 20:48:13,853], ## Epoch 111/500 Loss:23.689, MAE:99.18, MSE:144.80, Best MAE:70.16
[2021-09-09 20:54:15,978], ## Epoch 112/500 Loss:28.635, MAE:73.10, MSE:107.78, Best MAE:70.16
[2021-09-09 21:00:18,413], ## Epoch 113/500 Loss:24.260, MAE:82.25, MSE:120.74, Best MAE:70.16
[2021-09-09 21:06:20,489], ## Epoch 114/500 Loss:25.380, MAE:94.66, MSE:134.82, Best MAE:70.16
[2021-09-09 21:12:21,591], ## Epoch 115/500 Loss:25.542, MAE:70.36, MSE:104.03, Best MAE:70.16
[2021-09-09 21:18:24,372], ## Epoch 116/500 Loss:23.542, MAE:78.87, MSE:113.87, Best MAE:70.16
[2021-09-09 21:24:28,640], ## Epoch 117/500 Loss:25.171, MAE:76.91, MSE:113.01, Best MAE:70.16
[2021-09-09 21:30:32,055], ## Epoch 118/500 Loss:26.286, MAE:90.44, MSE:131.97, Best MAE:70.16
[2021-09-09 21:36:38,294], ## Epoch 119/500 Loss:25.064, MAE:78.07, MSE:113.12, Best MAE:70.16
[2021-09-09 21:42:42,133], ## Epoch 120/500 Loss:21.691, MAE:92.66, MSE:135.51, Best MAE:70.16
[2021-09-09 21:48:45,581], ## Epoch 121/500 Loss:21.780, MAE:78.99, MSE:112.81, Best MAE:70.16
[2021-09-09 21:54:50,387], ## Epoch 122/500 Loss:23.463, MAE:81.29, MSE:119.74, Best MAE:70.16
[2021-09-09 22:00:55,421], ## Epoch 123/500 Loss:23.899, MAE:83.41, MSE:119.85, Best MAE:70.16
[2021-09-09 22:06:57,111], ## Epoch 124/500 Loss:27.349, MAE:77.46, MSE:110.73, Best MAE:70.16
[2021-09-09 22:12:59,165], ## Epoch 125/500 Loss:22.819, MAE:72.54, MSE:105.74, Best MAE:70.16
[2021-09-09 22:19:01,865], ## Epoch 126/500 Loss:24.641, MAE:92.31, MSE:134.62, Best MAE:70.16
[2021-09-09 22:25:06,034], ## Epoch 127/500 Loss:25.266, MAE:106.89, MSE:163.93, Best MAE:70.16
[2021-09-09 22:31:08,822], ## Epoch 128/500 Loss:25.004, MAE:72.27, MSE:102.86, Best MAE:70.16
[2021-09-09 22:37:08,821], ## Epoch 129/500 Loss:25.300, MAE:71.02, MSE:104.37, Best MAE:70.16
[2021-09-09 22:43:10,889], ## Epoch 130/500 Loss:18.974, MAE:86.58, MSE:125.63, Best MAE:70.16
[2021-09-09 22:49:16,349], ## Epoch 131/500 Loss:23.093, MAE:70.09, MSE:105.64, Best MAE:70.16
[2021-09-09 22:55:19,187], ## Epoch 132/500 Loss:23.816, MAE:82.46, MSE:116.06, Best MAE:70.09
[2021-09-09 23:01:19,613], ## Epoch 133/500 Loss:23.981, MAE:108.57, MSE:158.14, Best MAE:70.09
[2021-09-09 23:07:19,769], ## Epoch 134/500 Loss:23.419, MAE:86.72, MSE:122.30, Best MAE:70.09
[2021-09-09 23:13:26,917], ## Epoch 135/500 Loss:22.745, MAE:84.30, MSE:121.99, Best MAE:70.09
[2021-09-09 23:19:29,846], ## Epoch 136/500 Loss:21.629, MAE:107.67, MSE:163.32, Best MAE:70.09
[2021-09-09 23:25:33,684], ## Epoch 137/500 Loss:25.650, MAE:70.21, MSE:103.45, Best MAE:70.09
[2021-09-09 23:31:35,607], ## Epoch 138/500 Loss:22.893, MAE:73.48, MSE:107.94, Best MAE:70.09
[2021-09-09 23:37:38,964], ## Epoch 139/500 Loss:20.858, MAE:75.95, MSE:106.82, Best MAE:70.09
[2021-09-09 23:43:40,313], ## Epoch 140/500 Loss:22.640, MAE:77.38, MSE:109.03, Best MAE:70.09
[2021-09-09 23:49:44,717], ## Epoch 141/500 Loss:21.636, MAE:74.33, MSE:118.45, Best MAE:70.09
[2021-09-09 23:55:50,495], ## Epoch 142/500 Loss:24.265, MAE:81.35, MSE:125.30, Best MAE:70.09
[2021-09-10 00:01:53,220], ## Epoch 143/500 Loss:22.921, MAE:82.09, MSE:119.60, Best MAE:70.09
[2021-09-10 00:07:56,149], ## Epoch 144/500 Loss:21.709, MAE:68.05, MSE:98.66, Best MAE:70.09
[2021-09-10 00:13:56,149], ## Epoch 145/500 Loss:22.014, MAE:76.01, MSE:110.02, Best MAE:68.05
[2021-09-10 00:19:56,861], ## Epoch 146/500 Loss:20.419, MAE:94.25, MSE:128.74, Best MAE:68.05
[2021-09-10 00:26:01,229], ## Epoch 147/500 Loss:19.013, MAE:69.60, MSE:102.38, Best MAE:68.05
[2021-09-10 00:32:02,535], ## Epoch 148/500 Loss:24.432, MAE:81.04, MSE:113.83, Best MAE:68.05
[2021-09-10 00:38:06,470], ## Epoch 149/500 Loss:23.811, MAE:86.39, MSE:124.36, Best MAE:68.05
[2021-09-10 00:44:09,548], ## Epoch 150/500 Loss:22.674, MAE:76.10, MSE:116.52, Best MAE:68.05
[2021-09-10 00:50:10,349], ## Epoch 151/500 Loss:24.377, MAE:82.54, MSE:119.30, Best MAE:68.05
[2021-09-10 00:56:13,709], ## Epoch 152/500 Loss:21.824, MAE:70.72, MSE:105.43, Best MAE:68.05
[2021-09-10 01:02:14,582], ## Epoch 153/500 Loss:19.780, MAE:73.74, MSE:110.05, Best MAE:68.05
[2021-09-10 01:08:20,247], ## Epoch 154/500 Loss:22.190, MAE:76.92, MSE:114.01, Best MAE:68.05
[2021-09-10 01:14:23,511], ## Epoch 155/500 Loss:23.395, MAE:94.96, MSE:129.62, Best MAE:68.05
[2021-09-10 01:20:25,000], ## Epoch 156/500 Loss:23.650, MAE:93.20, MSE:137.96, Best MAE:68.05
